second,rss_mb,history_kb,llm_in_flight,tool_inflight,done,failed,cancelled
1,37,100,615,0,0,0,0
2,37,100,616,0,0,0,0
3,58,152,938,0,0,0,0
4,99,7764,668,13,0,0,0
5,137,17965,777,13,0,0,0
6,180,28287,979,2,0,0,0
7,209,36157,998,2,0,0,0
8,229,41630,990,0,0,0,0
9,254,48093,997,2,0,0,0
10,276,53981,988,2,0,0,0
11,295,58429,981,13,0,0,0
12,313,63228,997,0,0,0,0
13,337,68955,988,5,0,0,0
14,340,71360,916,0,0,0,0
15,357,74053,826,7,0,0,0
16,373,79936,890,1,0,0,0
17,408,85913,995,2,0,0,0
18,425,89944,996,2,0,0,0
19,442,94583,997,1,0,0,0
20,460,99703,997,1,0,0,0
21,469,102295,997,2,0,0,0
22,473,104191,869,4,0,0,0
23,429,107420,909,1,0,0,0
24,450,111674,930,0,0,0,0
25,478,115861,997,2,0,0,0
26,481,117976,960,0,0,0,0
27,487,119260,896,4,0,0,0
28,472,122140,891,0,0,0,0
29,494,124539,902,0,0,0,0
30,461,124550,729,0,0,0,0
31,448,126633,668,1,0,0,0
32,473,132932,743,1,0,0,0
33,473,132932,743,1,0,0,0
34,482,134562,771,13,0,0,0
35,491,136480,791,4,0,0,0
36,513,139549,840,13,0,0,0
37,536,142587,872,13,0,0,0
38,551,144281,894,1,0,0,0
39,563,145976,911,1,0,0,0
40,581,148118,937,1,0,0,0
41,607,151251,984,0,0,0,0
42,626,153681,997,0,0,0,0
43,638,156081,999,0,0,0,0
44,642,157105,1000,0,0,0,0
45,654,159793,996,2,0,0,0
46,660,160849,993,4,0,0,0
47,674,163696,996,3,0,0,0
48,679,165008,996,1,0,0,0
49,695,168720,996,1,0,0,0
50,696,168976,1000,0,0,0,0
51,704,171183,999,0,0,0,0
52,714,173392,992,3,0,0,0
53,721,174927,998,0,0,0,0
54,734,178255,996,0,0,0,0
55,734,178255,996,0,0,0,0
56,740,179439,999,0,0,0,0
57,752,182670,996,0,0,0,0
58,754,182895,991,6,0,0,0
59,762,184782,999,1,0,0,0
60,770,186798,996,0,0,0,0
61,775,187599,975,1,0,0,0
62,772,188787,914,1,0,0,0
63,770,189905,936,0,0,0,0
64,783,192686,981,0,0,0,0
65,796,194477,997,0,0,0,0
66,803,195437,999,0,0,0,0
67,810,197389,996,1,0,0,0
68,812,198765,995,0,0,0,0
69,815,199629,997,1,0,0,0
70,821,200716,998,1,0,0,0
71,823,201516,997,3,0,0,0
72,828,203180,997,0,0,0,0
73,833,203788,999,0,0,0,0
74,836,205324,997,0,0,0,0
75,844,206060,1000,0,0,0,0
76,846,206636,994,2,0,0,0
77,852,207852,989,1,0,0,0
78,755,205231,926,0,0,0,0
79,755,205231,926,0,0,0,0
80,769,206542,960,0,0,0,0
81,781,207532,991,0,0,0,0
82,790,207116,994,3,0,0,0
83,795,204876,995,2,0,0,0
84,796,204620,996,3,0,0,0
85,798,201741,997,2,0,0,0
86,799,201133,996,0,0,0,0
87,800,198925,1000,0,0,0,0
88,803,197581,1000,0,0,0,0
89,749,193869,994,0,0,0,0
90,749,193869,994,0,0,0,0
91,752,191950,995,1,0,0,0
92,756,190286,994,1,0,0,0
93,758,186607,997,1,0,0,0
94,703,184111,998,0,0,0,0
95,703,183439,995,1,0,0,0
96,706,179375,989,0,0,0,0
97,662,170165,923,0,0,0,0
98,632,144531,997,2,0,0,0
99,632,144531,996,2,0,0,0
100,632,144531,996,2,0,0,0
101,632,144531,996,1,0,0,0
102,632,144531,996,1,0,0,0
103,632,144531,996,1,0,0,0
104,632,144531,996,1,0,0,0
105,631,141012,999,0,0,0,0
106,631,139987,996,0,0,0,0
107,545,131893,998,0,0,0,0
108,509,126262,997,1,0,0,0
109,477,116854,993,0,0,0,0
110,483,112887,996,1,0,0,0
111,455,101848,998,0,0,0,0
112,423,95386,957,2,0,0,0
113,360,75356,996,2,0,0,0
114,360,75356,996,2,0,0,0
115,360,75356,996,2,0,0,0
116,360,75356,996,2,0,0,0
117,360,75356,996,2,0,0,0
118,329,71484,995,1,0,0,0
119,336,68828,997,1,0,0,0
120,340,68540,999,1,0,0,0
121,315,64129,926,1,0,0,0
122,324,63005,997,2,0,0,0
123,332,63709,997,2,0,0,0
124,338,62173,996,1,0,0,0
125,308,62622,983,1,0,0,0
126,316,63389,996,1,0,0,0
127,321,62684,990,1,0,0,0
128,322,63261,993,2,0,0,0
129,325,63069,995,0,0,0,0
130,330,64637,996,1,0,0,0
131,334,65853,995,3,0,0,0
132,340,68129,932,1,0,0,0
133,359,72764,999,1,0,0,0
134,371,76124,995,1,0,0,0
135,382,79483,998,2,0,0,0
136,392,82107,996,1,0,0,0
137,403,84862,953,4,0,0,0
138,405,87197,950,0,0,0,0
139,425,91770,994,2,0,0,0
140,425,91770,994,2,0,0,0
141,432,95004,967,0,0,0,0
142,443,96986,999,1,0,0,0
143,454,100665,998,0,0,0,0
144,456,102398,918,0,0,0,0
145,471,106073,989,2,0,0,0
146,488,110360,997,1,0,0,0
147,498,112984,995,2,0,0,0
148,509,116312,995,0,0,0,0
149,511,117949,909,0,0,0,0
150,520,121210,957,2,0,0,0
151,542,124695,995,3,0,0,0
152,553,127798,996,2,0,0,0
153,565,130486,998,2,0,0,0
154,571,132662,998,1,0,0,0
155,574,133594,933,0,0,0,0
156,576,135607,966,0,0,0,0
157,592,138261,994,0,0,0,0
158,597,139957,999,1,0,0,0
159,604,141429,995,3,0,0,0
160,610,142869,994,3,0,0,0
161,618,145173,997,2,0,0,0
162,621,146005,995,1,0,0,0
163,622,145883,886,1,0,0,0
164,624,149367,944,1,0,0,0
165,624,149367,944,1,0,0,0
166,642,151476,995,2,0,0,0
167,643,152885,974,0,0,0,0
168,647,154261,964,0,0,0,0
169,651,154900,981,0,0,0,0
170,661,153271,914,2,0,0,0
171,661,155318,948,1,0,0,0
172,672,158515,996,2,0,0,0
173,679,160115,999,1,0,0,0
174,727,172785,998,2,0,0,0
175,727,172785,998,2,0,0,0
176,727,172785,998,1,0,0,0
177,727,172785,998,1,0,0,0
178,727,172785,998,1,0,0,0
179,727,172786,997,2,0,0,0
180,727,172786,997,2,0,0,0
181,727,172786,997,2,0,0,0
182,733,173937,998,1,0,0,0
183,734,174129,998,0,0,0,0
184,735,174129,998,1,0,0,0
185,740,174705,998,0,0,0,0
186,742,175857,997,0,0,0,0
187,747,176081,993,1,0,0,0
188,750,176561,995,0,0,0,0
189,501,160434,499,1,0,0,0
190,501,160434,498,1,0,0,0
191,501,160434,498,1,0,0,0
192,501,160434,498,1,0,0,0
193,501,160434,498,1,0,0,0
194,501,160434,498,1,0,0,0
195,501,160434,498,1,0,0,0
196,501,160434,498,1,0,0,0
197,509,160592,520,13,0,0,0
198,514,160111,540,1,0,0,0
199,528,160621,582,1,0,0,0
200,543,161322,625,1,0,0,0
201,565,163718,682,10,0,0,0
202,597,166335,796,7,0,0,0
203,597,166335,796,7,0,0,0
204,601,164095,757,1,0,0,0
205,601,163649,756,1,0,0,0
206,602,163168,769,1,0,0,0
207,617,165402,864,1,0,0,0
208,622,160221,751,1,0,0,0
209,623,158399,720,1,0,0,0
210,624,158209,777,3,0,0,0
211,625,156382,821,1,0,0,0
212,626,156028,861,1,0,0,0
213,628,155033,902,6,0,0,0
214,628,154360,907,1,0,0,0
215,631,153239,935,9,0,0,0
216,631,152437,958,1,0,0,0
217,634,152564,995,1,0,0,0
218,636,151732,996,1,0,0,0
219,638,148820,997,1,0,0,0
220,640,148564,995,1,0,0,0
221,641,140886,897,0,0,0,0
222,642,141014,912,0,0,0,0
223,645,141685,998,1,0,0,0
224,647,137813,996,2,0,0,0
225,648,137270,996,1,0,0,0
226,647,134390,1000,0,0,0,0
227,647,132469,996,0,0,0,0
228,646,130998,998,0,0,0,0
229,523,127702,998,0,0,0,0
230,529,124663,994,2,0,0,0
231,536,120024,981,3,0,0,0
232,491,115162,885,2,0,0,0
233,484,113912,969,0,0,0,0
234,492,112601,984,1,0,0,0
235,496,111704,999,1,0,0,0
236,501,107065,996,0,0,0,0
237,442,100953,910,0,0,0,0
238,444,99449,922,1,0,0,0
239,452,98714,975,2,0,0,0
240,459,99194,998,0,0,0,0
241,463,95322,999,0,0,0,0
242,410,91994,996,1,0,0,0
243,422,91514,997,1,0,0,0
244,426,90266,995,1,0,0,0
245,386,87453,937,0,0,0,0
246,403,88859,997,1,0,0,0
247,409,88635,998,1,0,0,0
248,377,86463,888,0,0,0,0
249,403,90874,996,0,0,0,0
250,413,91131,983,0,0,0,0
251,417,92474,996,2,0,0,0
252,425,94522,997,0,0,0,0
253,430,93727,886,0,0,0,0
254,439,97498,987,0,0,0,0
255,451,100729,997,1,0,0,0
256,457,100959,884,1,0,0,0
257,466,104602,982,2,0,0,0
258,469,104126,896,1,0,0,0
259,470,106207,889,4,0,0,0
260,491,112025,982,0,0,0,0
261,352,113146,447,0,0,0,0
262,353,113146,447,0,0,0,0
263,353,113147,445,0,0,0,0
264,353,113147,445,0,0,0,0
265,353,113147,445,0,0,0,0
266,353,113147,445,0,0,0,0
267,338,111361,349,0,0,0,0
268,274,110764,180,1,0,0,0
269,296,113065,215,5,0,0,0
270,313,115207,251,1,0,0,0
271,335,118242,316,1,0,0,0
272,358,121279,364,1,0,0,0
273,378,123514,432,1,0,0,0
274,396,126135,482,1,0,0,0
275,418,128787,545,1,0,0,0
276,428,131216,576,1,0,0,0
277,448,133613,633,13,0,0,0
278,471,136456,702,1,0,0,0
279,498,139203,775,1,0,0,0
280,517,141312,820,13,0,0,0
281,537,143261,865,1,0,0,0
282,552,144986,904,1,0,0,0
283,574,147225,929,1,0,0,0
284,584,148823,952,1,0,0,0
285,601,150964,993,0,0,0,0
286,613,152468,996,0,0,0,0
287,615,152916,1000,0,0,0,0
288,619,151924,998,0,0,0,0
289,619,151924,998,0,0,0,0
290,622,152852,999,1,0,0,0
291,627,153140,998,1,0,0,0
292,628,153364,999,1,0,0,0
293,632,153716,995,2,0,0,0
294,634,154036,998,0,0,0,0
295,636,153141,968,0,0,0,0
296,636,153141,968,0,0,0,0
297,636,153844,981,1,0,0,0
298,645,155540,993,2,0,0,0
299,645,155540,993,2,0,0,0
300,648,155827,995,2,0,0,0
301,652,156467,997,2,0,0,0
302,656,156755,997,0,0,0,0
303,660,157587,998,0,0,0,0
304,661,156019,993,2,0,0,0
305,661,156467,998,0,0,0,0
306,662,154996,995,1,0,0,0
