second,rss_mb,history_kb,llm_in_flight,tool_inflight,done,failed,cancelled
1,31,94,582,0,0,0,0
2,37,120,740,0,0,0,0
3,103,6921,877,13,0,0,0
4,165,20169,841,13,0,0,0
5,220,32326,873,13,0,0,0
6,276,41790,982,13,0,0,0
7,316,48892,999,1,0,0,0
8,375,59452,986,7,0,0,0
9,413,65467,990,2,0,0,0
10,455,72315,990,7,0,0,0
11,514,81241,999,0,0,0,0
12,533,85119,894,1,0,0,0
13,590,92216,991,1,0,0,0
14,614,95703,998,0,0,0,0
15,640,99804,925,1,0,0,0
16,678,104567,986,11,0,0,0
17,701,107926,996,3,0,0,0
18,731,112086,995,0,0,0,0
19,754,115452,899,10,0,0,0
20,783,119478,988,1,0,0,0
21,796,120949,994,5,0,0,0
22,818,123669,997,1,0,0,0
23,842,126420,1000,0,0,0,0
24,868,129781,991,0,0,0,0
25,897,133012,989,9,0,0,0
26,928,136755,996,4,0,0,0
27,962,140595,998,0,0,0,0
28,986,144151,929,1,0,0,0
29,1021,147891,987,1,0,0,0
30,1035,149491,975,1,0,0,0
31,1087,155121,999,1,0,0,0
32,1092,155857,998,0,0,0,0
33,1125,159857,993,2,0,0,0
34,1147,162032,997,1,0,0,0
35,1173,165008,995,1,0,0,0
36,1211,168944,995,4,0,0,0
37,1242,171695,993,0,0,0,0
38,1270,174767,989,10,0,0,0
39,1286,176751,1000,0,0,0,0
40,1313,179823,997,1,0,0,0
41,1332,182098,940,1,0,0,0
42,1364,184686,1000,0,0,0,0
43,1412,189806,995,2,0,0,0
44,1431,191695,969,8,0,0,0
45,1437,193813,879,1,0,0,0
46,1486,198095,956,1,0,0,0
47,1490,198801,917,1,0,0,0
48,1533,201452,999,0,0,0,0
49,1566,204332,997,1,0,0,0
50,1573,205516,996,4,0,0,0
51,1597,206860,990,8,0,0,0
52,1613,207179,990,3,0,0,0
53,1624,207595,991,0,0,0,0
54,1634,207627,995,0,0,0,0
55,1642,208715,994,0,0,0,0
56,1652,205898,991,0,0,0,0
57,1650,205708,992,1,0,0,0
58,1654,205516,995,2,0,0,0
59,1660,201420,937,5,0,0,0
60,1655,200205,959,0,0,0,0
61,1656,201260,998,0,0,0,0
62,1661,200940,994,1,0,0,0
63,1672,197324,958,1,0,0,0
64,1522,191949,871,0,0,0,0
65,1537,192397,882,0,0,0,0
66,1550,193164,968,0,0,0,0
67,1557,193134,986,0,0,0,0
68,1563,191021,991,1,0,0,0
69,1569,190701,990,0,0,0,0
70,1568,188078,989,3,0,0,0
71,1570,183821,988,1,0,0,0
72,1570,183821,988,1,0,0,0
73,1567,182894,987,1,0,0,0
74,1569,179918,989,0,0,0,0
75,1453,176910,992,0,0,0,0
76,1455,175950,989,0,0,0,0
77,1463,173390,989,0,0,0,0
78,1458,171023,988,0,0,0,0
79,1463,168751,992,0,0,0,0
80,1355,167535,991,0,0,0,0
81,1369,163632,993,0,0,0,0
82,1371,161232,989,0,0,0,0
83,1374,158736,990,0,0,0,0
84,1286,152689,989,0,0,0,0
85,1286,152689,989,0,0,0,0
86,1287,147025,988,1,0,0,0
87,1204,146098,988,0,0,0,0
88,1215,142098,985,0,0,0,0
89,1217,140306,990,0,0,0,0
90,1220,137939,991,1,0,0,0
91,1137,134963,985,0,0,0,0
92,1144,129683,986,0,0,0,0
93,1144,129683,986,0,0,0,0
94,837,95511,982,2,0,0,0
95,837,95511,982,2,0,0,0
96,838,95511,982,2,0,0,0
97,839,95512,983,2,0,0,0
98,838,95512,983,2,0,0,0
99,838,95512,983,2,0,0,0
100,838,95512,983,2,0,0,0
101,838,95512,983,2,0,0,0
102,838,95512,983,2,0,0,0
103,838,95512,983,2,0,0,0
104,838,95512,983,2,0,0,0
105,838,95512,983,2,0,0,0
106,837,95320,986,0,0,0,0
107,787,91608,988,1,0,0,0
108,788,90904,989,1,0,0,0
109,792,88313,989,2,0,0,0
110,748,83705,983,0,0,0,0
111,750,83705,984,0,0,0,0
112,688,82457,989,2,0,0,0
113,695,79994,991,0,0,0,0
114,652,78586,992,1,0,0,0
115,661,74842,989,0,0,0,0
116,617,73403,990,0,0,0,0
117,623,71803,991,1,0,0,0
118,575,70075,990,3,0,0,0
119,594,68507,988,2,0,0,0
120,543,66075,990,0,0,0,0
121,506,64380,993,0,0,0,0
122,526,63260,991,0,0,0,0
123,536,63068,989,1,0,0,0
124,479,61884,992,1,0,0,0
125,497,63932,995,0,0,0,0
126,514,64539,991,0,0,0,0
127,520,64476,990,0,0,0,0
128,531,67164,993,4,0,0,0
129,544,69468,995,0,0,0,0
130,561,72284,997,0,0,0,0
131,581,75163,994,1,0,0,0
132,597,77531,993,0,0,0,0
133,611,81819,996,3,0,0,0
134,630,84219,994,2,0,0,0
135,642,86244,835,0,0,0,0
136,638,88428,212,1,0,0,0
137,637,92807,284,1,0,0,0
138,636,93415,283,13,0,0,0
139,654,99709,437,1,0,0,0
140,654,99709,437,1,0,0,0
141,668,102911,386,13,0,0,0
142,697,107067,450,1,0,0,0
143,718,110103,496,4,0,0,0
144,745,114386,575,1,0,0,0
145,757,116820,542,12,0,0,0
146,789,120846,626,11,0,0,0
147,816,123850,687,1,0,0,0
148,842,126759,737,3,0,0,0
149,851,127686,751,1,0,0,0
150,876,131043,790,1,0,0,0
151,902,133855,846,1,0,0,0
152,926,136028,890,1,0,0,0
153,948,137434,919,8,0,0,0
154,1102,154108,832,1,0,0,0
155,1102,154108,832,1,0,0,0
156,1102,154108,832,1,0,0,0
157,1102,154108,832,1,0,0,0
158,1102,154108,832,1,0,0,0
159,1102,154108,832,1,0,0,0
160,1104,154300,837,1,0,0,0
161,1123,155866,875,1,0,0,0
162,1126,156606,782,1,0,0,0
163,1126,156606,782,1,0,0,0
164,1126,157502,800,1,0,0,0
165,1126,157502,800,1,0,0,0
166,1144,159517,824,1,0,0,0
167,1160,161788,852,1,0,0,0
168,1173,162299,860,1,0,0,0
169,1203,165400,909,1,0,0,0
170,1335,174965,916,1,0,0,0
171,1335,174965,916,1,0,0,0
172,1334,174965,916,1,0,0,0
173,1334,174965,916,1,0,0,0
174,1334,174965,916,1,0,0,0
175,1334,174965,916,1,0,0,0
176,1334,174965,916,1,0,0,0
177,1334,174965,916,1,0,0,0
178,1334,174965,916,1,0,0,0
179,1334,174965,916,1,0,0,0
180,1334,174965,916,1,0,0,0
181,1345,177395,954,1,0,0,0
182,1366,177585,986,0,0,0,0
183,1364,178033,992,0,0,0,0
184,1380,178576,995,0,0,0,0
185,1385,179505,991,5,0,0,0
186,1395,179408,992,2,0,0,0
187,1404,180112,994,1,0,0,0
188,1409,179504,989,5,0,0,0
189,1415,179888,995,0,0,0,0
190,1413,179920,993,3,0,0,0
191,1414,180241,991,0,0,0,0
192,1417,180368,993,4,0,0,0
193,1419,180752,995,0,0,0,0
194,1427,180208,989,0,0,0,0
195,1428,179760,993,0,0,0,0
196,1429,179152,993,0,0,0,0
197,1432,178576,991,0,0,0,0
198,1428,178000,989,0,0,0,0
199,1431,177264,992,3,0,0,0
200,1434,174800,992,2,0,0,0
201,1435,174065,991,0,0,0,0
202,1437,173456,993,0,0,0,0
203,1437,171697,992,2,0,0,0
204,1434,169841,987,1,0,0,0
205,1180,138708,993,0,0,0,0
206,1180,138708,993,0,0,0,0
207,1180,138708,993,0,0,0,0
208,1180,138708,993,0,0,0,0
209,1180,138708,993,0,0,0,0
210,1180,138708,993,0,0,0,0
211,1180,138708,993,0,0,0,0
212,1180,138708,993,0,0,0,0
213,1180,138708,993,0,0,0,0
214,1180,138708,993,0,0,0,0
215,1180,138708,993,0,0,0,0
216,1180,138708,993,0,0,0,0
217,1180,138708,992,1,0,0,0
218,1180,138708,992,1,0,0,0
219,1180,138708,992,1,0,0,0
220,1180,138708,992,1,0,0,0
221,1180,138708,991,2,0,0,0
222,1180,138708,991,2,0,0,0
223,1180,138708,991,2,0,0,0
224,1180,138708,991,2,0,0,0
225,1180,138708,991,2,0,0,0
226,1180,138708,991,2,0,0,0
227,1180,138708,990,3,0,0,0
228,1180,138708,990,3,0,0,0
229,1185,137428,988,3,0,0,0
230,1189,136660,986,0,0,0,0
231,1092,134292,990,1,0,0,0
232,1092,133749,988,5,0,0,0
